MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
NAIVE_PARALLEL,40,8,7,0.300848
NAIVE_PARALLEL,40,9,7,0.357138
NAIVE_PARALLEL,40,10,9,1.129481
NAIVE_PARALLEL,40,11,5,0.437574
NAIVE_PARALLEL,40,12,18,3.390738
NAIVE_PARALLEL,40,1,12,0.002830
NAIVE_PARALLEL,40,2,12,0.052011
NAIVE_PARALLEL,40,3,12,0.094743
NAIVE_PARALLEL,40,4,14,0.155456
NAIVE_PARALLEL,40,5,6,0.171289
NAIVE_PARALLEL,40,6,13,0.310574
NAIVE_PARALLEL,40,7,5,0.261695
NAIVE_PARALLEL,40,8,5,0.297065
NAIVE_PARALLEL,40,9,7,0.349183
NAIVE_PARALLEL,40,10,7,0.405170
NAIVE_PARALLEL,40,11,7,0.435960
NAIVE_PARALLEL,40,12,14,3.229085
NAIVE_PARALLEL,40,1,12,0.001536
NAIVE_PARALLEL,40,2,12,0.051368
NAIVE_PARALLEL,40,3,12,0.087031
NAIVE_PARALLEL,40,4,8,0.136405
NAIVE_PARALLEL,40,5,10,0.176288
NAIVE_PARALLEL,40,6,7,0.242186
NAIVE_PARALLEL,40,7,6,0.247777
NAIVE_PARALLEL,40,8,8,0.395056
NAIVE_PARALLEL,40,9,7,0.331871
NAIVE_PARALLEL,40,10,5,0.451957
NAIVE_PARALLEL,40,11,6,0.487113
NAIVE_PARALLEL,40,12,20,3.427305
SERIAL,45,1,14,0.000205
SERIAL,45,1,14,0.000166
SERIAL,45,1,14,0.000214
SERIAL,45,1,14,0.000165
SERIAL,45,1,14,0.000204
NAIVE_PARALLEL,45,1,14,0.002471
NAIVE_PARALLEL,45,2,14,0.054422
NAIVE_PARALLEL,45,3,14,0.098963
NAIVE_PARALLEL,45,4,14,0.132797
NAIVE_PARALLEL,45,5,12,0.177922
NAIVE_PARALLEL,45,6,9,0.255179
NAIVE_PARALLEL,45,7,12,0.288779
NAIVE_PARALLEL,45,8,9,0.309601
NAIVE_PARALLEL,45,9,10,0.328429
NAIVE_PARALLEL,45,10,13,0.691832
NAIVE_PARALLEL,45,11,6,1.239473
NAIVE_PARALLEL,45,12,15,3.441036
NAIVE_PARALLEL,45,1,14,0.001585
NAIVE_PARALLEL,45,2,14,0.053576
NAIVE_PARALLEL,45,3,17,0.088975
NAIVE_PARALLEL,45,4,7,0.158501
NAIVE_PARALLEL,45,5,12,0.172077
NAIVE_PARALLEL,45,6,7,0.217348
NAIVE_PARALLEL,45,7,12,0.264330
NAIVE_PARALLEL,45,8,9,0.293982
NAIVE_PARALLEL,45,9,8,0.436232
NAIVE_PARALLEL,45,10,15,0.409663
NAIVE_PARALLEL,45,11,22,3.648114
NAIVE_PARALLEL,45,12,20,6.533697
NAIVE_PARALLEL,45,1,14,0.001566
NAIVE_PARALLEL,45,2,14,0.054762
NAIVE_PARALLEL,45,3,10,0.093293
NAIVE_PARALLEL,45,4,12,0.137203
NAIVE_PARALLEL,45,5,18,0.214615
NAIVE_PARALLEL,45,6,7,0.225351
NAIVE_PARALLEL,45,7,9,0.287330
NAIVE_PARALLEL,45,8,9,0.286018
NAIVE_PARALLEL,45,9,10,0.379788
NAIVE_PARALLEL,45,10,12,2.929405
NAIVE_PARALLEL,45,11,15,3.359248
NAIVE_PARALLEL,45,12,10,2.552457
NAIVE_PARALLEL,45,1,14,0.001916
NAIVE_PARALLEL,45,2,14,0.055404
NAIVE_PARALLEL,45,3,8,0.094441
NAIVE_PARALLEL,45,4,14,0.137835
NAIVE_PARALLEL,45,5,9,0.175141
NAIVE_PARALLEL,45,6,10,0.216308
NAIVE_PARALLEL,45,7,10,0.255412
NAIVE_PARALLEL,45,8,7,0.298028
NAIVE_PARALLEL,45,9,10,0.343289
NAIVE_PARALLEL,45,10,12,0.393665
NAIVE_PARALLEL,45,11,13,0.472352
NAIVE_PARALLEL,45,12,17,3.000263
NAIVE_PARALLEL,45,1,14,0.001546
NAIVE_PARALLEL,45,2,14,0.052555
NAIVE_PARALLEL,45,3,14,0.103602
NAIVE_PARALLEL,45,4,17,0.158043
NAIVE_PARALLEL,45,5,12,0.181588
NAIVE_PARALLEL,45,6,11,0.244685
NAIVE_PARALLEL,45,7,13,0.269416
NAIVE_PARALLEL,45,8,10,0.307238
NAIVE_PARALLEL,45,9,12,0.343483
NAIVE_PARALLEL,45,10,8,0.386994
NAIVE_PARALLEL,45,11,8,0.440949
NAIVE_PARALLEL,45,12,15,2.891165
SERIAL,50,1,15,0.000224
SERIAL,50,1,15,0.000175
SERIAL,50,1,15,0.000165
SERIAL,50,1,15,0.000185
SERIAL,50,1,15,0.000233
NAIVE_PARALLEL,50,1,15,0.002635
NAIVE_PARALLEL,50,2,15,0.055988
NAIVE_PARALLEL,50,3,15,0.096192
NAIVE_PARALLEL,50,4,12,0.161555
NAIVE_PARALLEL,50,5,9,0.214178
NAIVE_PARALLEL,50,6,15,0.273277
NAIVE_PARALLEL,50,7,8,0.495342
NAIVE_PARALLEL,50,8,8,0.300731
NAIVE_PARALLEL,50,9,10,0.350787
NAIVE_PARALLEL,50,10,10,0.395640
NAIVE_PARALLEL,50,11,14,0.431049
NAIVE_PARALLEL,50,12,16,3.289090
NAIVE_PARALLEL,50,1,15,0.001546
NAIVE_PARALLEL,50,2,15,0.053614
NAIVE_PARALLEL,50,3,11,0.090551
NAIVE_PARALLEL,50,4,12,0.131280
NAIVE_PARALLEL,50,5,8,0.172456
NAIVE_PARALLEL,50,6,12,0.214498
NAIVE_PARALLEL,50,7,12,0.251561
NAIVE_PARALLEL,50,8,10,0.441558
NAIVE_PARALLEL,50,9,9,0.331240
NAIVE_PARALLEL,50,10,7,0.399121
NAIVE_PARALLEL,50,11,19,0.497685
NAIVE_PARALLEL,50,12,16,3.393986
NAIVE_PARALLEL,50,1,15,0.001546
NAIVE_PARALLEL,50,2,15,0.051631
NAIVE_PARALLEL,50,3,9,0.088946
NAIVE_PARALLEL,50,4,9,0.128791
NAIVE_PARALLEL,50,5,14,0.176706
NAIVE_PARALLEL,50,6,15,0.209189
NAIVE_PARALLEL,50,7,11,0.299194
NAIVE_PARALLEL,50,8,11,0.309143
NAIVE_PARALLEL,50,9,21,0.576139
NAIVE_PARALLEL,50,10,8,0.447222
NAIVE_PARALLEL,50,11,8,0.425224
NAIVE_PARALLEL,50,12,24,3.399539
NAIVE_PARALLEL,50,1,15,0.001585
NAIVE_PARALLEL,50,2,15,0.052380
NAIVE_PARALLEL,50,3,9,0.086437
NAIVE_PARALLEL,50,4,12,0.128596
NAIVE_PARALLEL,50,5,9,0.177348
NAIVE_PARALLEL,50,6,11,0.244861
NAIVE_PARALLEL,50,7,10,0.257348
