PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
4,28234,28234,0.468423
5,28234,28234,0.678736
6,28234,28234,0.401255
2,28456,28456,0.786176
3,28456,28456,0.816331
4,28456,28456,0.505268
5,28456,28456,0.700168
6,28456,28456,0.422395
2,28678,28678,1.074436
3,28678,28678,0.606563
4,28678,28678,0.799257
5,28678,28678,0.483180
6,28678,28678,0.652542
2,28900,28900,0.808978
3,28900,28900,0.857985
4,28900,28900,0.505942
5,28900,28900,0.732731
6,28900,28900,0.427989
2,29123,29123,1.081884
3,29123,29123,0.866204
4,29123,29123,0.522454
5,29123,29123,0.758851
6,29123,29123,0.423086
2,29346,29346,1.107815
3,29346,29346,0.625505
4,29346,29346,0.847562
5,29346,29346,0.485323
6,29346,29346,0.705743
2,29569,29569,0.849257
3,29569,29569,0.888510
4,29569,29569,0.537028
5,29569,29569,0.742114
6,29569,29569,0.464944
2,29792,29792,1.123828
3,29792,29792,0.642161
4,29792,29792,0.855054
5,29792,29792,0.806103
6,29792,29792,0.469554
2,30015,30015,1.191518
3,30015,30015,0.652506
4,30015,30015,0.866978
5,30015,30015,0.506814
6,30015,30015,0.718930
2,30238,30238,0.877260
3,30238,30238,0.634903
4,30238,30238,0.828090
5,30238,30238,0.503105
6,30238,30238,0.750215
2,30462,30462,0.900126
3,30462,30462,0.691017
4,30462,30462,0.876575
5,30462,30462,0.520184
6,30462,30462,0.770826
2,30686,30686,0.911703
3,30686,30686,0.703911
4,30686,30686,0.996387
5,30686,30686,0.795332
6,30686,30686,0.458147
2,30910,30910,1.164886
3,30910,30910,0.941626
4,30910,30910,0.579974
5,30910,30910,0.797037
6,30910,30910,0.508909
2,31134,31134,1.224060
3,31134,31134,0.698832
4,31134,31134,0.938259
5,31134,31134,0.560100
6,31134,31134,0.840896
2,31358,31358,0.939590
3,31358,31358,0.717174
4,31358,31358,0.595817
5,31358,31358,0.830249
6,31358,31358,0.500486
2,31582,31582,1.235030
3,31582,31582,0.729617
4,31582,31582,0.588498
5,31582,31582,0.846664
6,31582,31582,0.568415
2,31806,31806,1.286548
3,31806,31806,0.756318
4,31806,31806,0.971408
5,31806,31806,0.563213
6,31806,31806,0.894636
2,32031,32031,0.979796
3,32031,32031,0.742006
4,32031,32031,0.614205
5,32031,32031,0.859726
6,32031,32031,0.515135
2,32256,32256,1.282818
3,32256,32256,0.757782
4,32256,32256,0.644809
5,32256,32256,0.871046
6,32256,32256,0.540774
2,32481,32481,1.367535
3,32481,32481,1.088624
4,32481,32481,0.671061
5,32481,32481,0.891064
6,32481,32481,0.534766
2,32706,32706,1.306405
3,32706,32706,0.745939
4,32706,32706,0.642405
5,32706,32706,0.878604
6,32706,32706,0.545873
2,32931,32931,1.367527
3,32931,32931,0.805165
4,32931,32931,0.684263
5,32931,32931,0.971401
6,32931,32931,0.561942
2,33156,33156,1.133573
3,33156,33156,0.801225
4,33156,33156,0.651347
5,33156,33156,0.585652
6,33156,33156,0.871644
2,33382,33382,1.034494
3,33382,33382,0.769155
4,33382,33382,0.643416
5,33382,33382,0.620841
6,33382,33382,0.899439
2,33608,33608,1.113950
3,33608,33608,0.812331
4,33608,33608,0.712867
5,33608,33608,0.729237
6,33608,33608,0.614328
2,33834,33834,1.108666
3,33834,33834,0.817783
4,33834,33834,0.672560
5,33834,33834,0.601472
6,33834,33834,0.562634
2,34060,34060,1.074434
3,34060,34060,0.801297
4,34060,34060,0.671927
5,34060,34060,0.640606
6,34060,34060,0.578804
2,34286,34286,1.140036
3,34286,34286,0.869785
4,34286,34286,0.758112
5,34286,34286,0.661314
6,34286,34286,0.595748
2,34512,34512,1.121900
3,34512,34512,0.865252
4,34512,34512,0.722758
5,34512,34512,0.674730
6,34512,34512,0.599967
2,34738,34738,1.146097
3,34738,34738,0.940641
4,34738,34738,0.762173
5,34738,34738,0.651904
6,34738,34738,0.606596
2,34965,34965,1.211901
3,34965,34965,0.935177
4,34965,34965,0.746834
5,34965,34965,0.647795
6,34965,34965,0.599226
2,35192,35192,1.161755
3,35192,35192,0.885489
4,35192,35192,0.767043
5,35192,35192,0.664383
6,35192,35192,0.604089
2,35419,35419,1.257544
3,35419,35419,0.891781
4,35419,35419,0.769987
5,35419,35419,0.684607
6,35419,35419,0.637730
2,35646,35646,1.251216
3,35646,35646,0.914028
4,35646,35646,0.769274
5,35646,35646,0.693304
6,35646,35646,0.630468
2,35873,35873,1.236068
3,35873,35873,0.922753
4,35873,35873,0.793021
5,35873,35873,0.691889
6,35873,35873,0.651969
2,36100,36100,1.245591
3,36100,36100,0.958840
4,36100,36100,0.808086
5,36100,36100,0.729739
6,36100,36100,0.658171
2,36327,36327,1.253281
3,36327,36327,0.915013
4,36327,36327,0.775570
5,36327,36327,0.726979
6,36327,36327,0.669967
2,36555,36555,1.315924
3,36555,36555,0.971652
4,36555,36555,0.804360
5,36555,36555,0.708326
6,36555,36555,0.678010
2,36783,36783,1.298349
3,36783,36783,0.978735
4,36783,36783,0.827729
5,36783,36783,0.725038
6,36783,36783,0.672784
2,37011,37011,1.295594
3,37011,37011,1.005845
4,37011,37011,0.844982
5,37011,37011,0.740910
6,37011,37011,0.696426
2,37239,37239,1.339119
3,37239,37239,0.982689
4,37239,37239,0.877663
5,37239,37239,0.779040
6,37239,37239,0.723914
2,37467,37467,1.335026
3,37467,37467,1.014757
4,37467,37467,0.868469
5,37467,37467,0.756037
6,37467,37467,0.701317
2,37695,37695,1.353720
3,37695,37695,1.009174
4,37695,37695,0.887034
5,37695,37695,0.765179
6,37695,37695,0.768637
2,37923,37923,1.420263
3,37923,37923,1.038875
4,37923,37923,0.877946
5,37923,37923,0.795407
6,37923,37923,0.711787
2,38151,38151,1.356496
3,38151,38151,1.014748
4,38151,38151,0.880885
5,38151,38151,0.779199
6,38151,38151,0.759583
2,38380,38380,1.451972
3,38380,38380,1.079641
4,38380,38380,0.896585
5,38380,38380,0.805017
6,38380,38380,0.801100
2,38609,38609,1.408799
3,38609,38609,1.063542
4,38609,38609,0.906232
5,38609,38609,0.832898
6,38609,38609,0.798450
2,38838,38838,1.452873
3,38838,38838,1.078761
4,38838,38838,0.961752
5,38838,38838,1.004951
6,38838,38838,1.012828
2,39067,39067,1.463207
3,39067,39067,1.074073
4,39067,39067,0.929038
5,39067,39067,0.959042
6,39067,39067,0.856169
2,39296,39296,1.475945
3,39296,39296,1.098082
4,39296,39296,0.957568
5,39296,39296,0.927639
6,39296,39296,1.011922
2,39525,39525,1.500941
3,39525,39525,1.198156
4,39525,39525,0.985887
5,39525,39525,0.985746
6,39525,39525,1.196254
2,39754,39754,1.462584
3,39754,39754,1.132698
4,39754,39754,0.992267
5,39754,39754,1.193883
6,39754,39754,1.196205
2,39983,39983,1.658251
3,39983,39983,1.222394
4,39983,39983,0.946440
5,39983,39983,1.037751
6,39983,39983,1.411744
2,40213,40213,1.575584
3,40213,40213,1.236801
4,40213,40213,1.290215
5,40213,40213,1.351845
